AHY2U;AIG2U;ISICIN01;Issuer List;Sector
;FORTRESS INCOME 2 (PTY) LTD;;FORTRESS;Real Estate
;PARETO LIMITED;;PARETO LIMITED;Real Estate
PAN AFRICAN RESOURCES FUNDING COMPANY (PTY) LTD;PAN AFRICAN RESOURCES FUNDING COMPANY (PTY) LTD;;PAN AFRICAN RESOURCES;Mining
;;;PAN AFRICAN RESOURCES;Mining
;AFROX;;AFROX;Industrial
;FOSCHINI RETAIL GROUP (PTY) LTD;;THE FOSCHINI GROUP;Retail
;K2012150042 (SOUTH AFRICA) (PTY) LTD;;K2012150042 (PTY) LTD;Real Estate
;ASPEN PHARMACARE HOLDINGS LTD;Aspen;ASPEN;Healthcare
;LIFE HEALTHCARE GROUP (PTY) LTD;;LIFE HEALTHCARE;Healthcare
;NAMPAK PRODUCTS LIMITED;;NAMPAK;Industrial
;ITALTILE;;ITALTILE;Industrial
;COCA COLA PENINSULA PROPRIETARY LIMITED;;COCA COLA PENINSULA;Industrial
;MOTUS HOLDINGS LIMITED;;MOTUS;Industrial
ACCELERATE;ACCELERATE PROPERTY FUND LTD;;ACCELERATE PROPERTY FUND LTD;Real Estate
;EMIRA PROPERTY FUND LIMITED;;EMIRA PROPERTY FUND LIMITED;Real Estate
;RESILIENT PROPERTIES;;RESILIENT REIT LIMITED;Real Estate
;K2012150042 (SOUTH AFRICA) (PTY) LTD Facility D;;K2012150042 (PTY) LTD;Real Estate
;K2012150042 (SOUTH AFRICA) (PTY) LTD Facility K;;K2012150042 (PTY) LTD;Real Estate
;Shoprite;;SHOPRITE;Retail
;TSOGO SUN HOLDINGS (PTY) LTD;;TSOGO SUN LTD;Leisure
;TSOGO SUN GAMING LIMITED;;TSOGO SUN LTD;Leisure
;VODACOM (PTY) LTD;;VODACOM LTD;Telecom
Merchant Capital Debtco (RF) Proprietary Ltd;;;MERCHANT CAPITAL;Bank
;IHS TOWERS SOUTH AFRICA (PTY) LTD ;;IHS TOWERS SA PTY LTD;Telecom
Goldrush Group (Pty) Ltd;;;GOLDRUSH GROUP PTY LTD;Leisure
RTT Group (PTY) LTD ;;;RTT GROUP PTY LTD;Industrial
Custom Capital Finance Holdings SA (Pty) Ltd;;;CUSTOM CAPITAL FINANCE PTY LTD;Securitization
;GOMO VEHICLE SOLUTIONS PROPRIETARY LIMITED;;GOMO VEHICLE SOLUTIONS PTY LTD;Securitization
;MULTICHOICE GROUP TREASURY SERVICES (PTY) LTD;;MULTICHOICE PTY LTD;Telecom
Cash Connect Management Solutions (Pty) Ltd;;;CASH CONNECT MANAGEMENT SOLUTIONS PTY LTD;Telecom
Ardagh Glass Packaging South Africa Proprietary Limited;;;ARDAGH GLASS PTY LTD;Industrial
